,Dataset,Impute method,Model-based imputation,Package,Percent data missing,Score (AUC)
268,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.38,0.9300766283524904
269,HeartDisease,MICE,Y,sklearn,0.38,0.9314254437407148
270,HeartDisease,Expectation Maximization,Y,impyute,0.38,0.9321682696066932
271,HeartDisease,Missing Forest,Y,missingpy,0.38,0.9308829853780592
272,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.4,0.9239766081871345
273,HeartDisease,MICE,Y,sklearn,0.4,0.9221927367438204
274,HeartDisease,Expectation Maximization,Y,impyute,0.4,0.9196029288908546
275,HeartDisease,Missing Forest,Y,missingpy,0.4,0.9186299081035922
276,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.42,0.9240892281060664
277,HeartDisease,MICE,Y,sklearn,0.42,0.9255989849712801
278,HeartDisease,Expectation Maximization,Y,impyute,0.42,0.9246154300102291
279,HeartDisease,Missing Forest,Y,missingpy,0.42,0.9314806436383664
280,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.44,0.9216199780288764
281,HeartDisease,MICE,Y,sklearn,0.44,0.9220270323289391
282,HeartDisease,Expectation Maximization,Y,impyute,0.44,0.9206096986817326
283,HeartDisease,Missing Forest,Y,missingpy,0.44,0.9211442639673572
284,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.46,0.9318833769005592
285,HeartDisease,MICE,Y,sklearn,0.46,0.9348792355665207
286,HeartDisease,Expectation Maximization,Y,impyute,0.46,0.9318197393798768
287,HeartDisease,Missing Forest,Y,missingpy,0.46,0.931168678591359
288,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.48,0.9269013360739979
289,HeartDisease,MICE,Y,sklearn,0.48,0.9266888686852716
290,HeartDisease,Expectation Maximization,Y,impyute,0.48,0.9289815400426912
291,HeartDisease,Missing Forest,Y,missingpy,0.48,0.9270347458297098
292,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.5,0.9310987878490454
293,HeartDisease,MICE,Y,sklearn,0.5,0.9307209108308386
294,HeartDisease,Expectation Maximization,Y,impyute,0.5,0.9310153604554152
295,HeartDisease,Missing Forest,Y,missingpy,0.5,0.9289247681209208
296,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.52,0.9283283499881974
297,HeartDisease,MICE,Y,sklearn,0.52,0.9256432449445274
298,HeartDisease,Expectation Maximization,Y,impyute,0.52,0.9258694625855692
299,HeartDisease,Missing Forest,Y,missingpy,0.52,0.9240892281060664
300,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.54,0.9290828553469004
301,HeartDisease,MICE,Y,sklearn,0.54,0.9290583012493124
302,HeartDisease,Expectation Maximization,Y,impyute,0.54,0.9290583012493124
303,HeartDisease,Missing Forest,Y,missingpy,0.54,0.9260234147874598
304,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.56,0.9155653815580286
305,HeartDisease,MICE,Y,sklearn,0.56,0.9159032193958664
306,HeartDisease,Expectation Maximization,Y,impyute,0.56,0.9182581478537359
307,HeartDisease,Missing Forest,Y,missingpy,0.56,0.9184370031796504
308,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.58,0.9223637385278142
309,HeartDisease,MICE,Y,sklearn,0.58,0.9222651590579748
310,HeartDisease,Expectation Maximization,Y,impyute,0.58,0.9198154592324602
311,HeartDisease,Missing Forest,Y,missingpy,0.58,0.919874606914364
312,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.6,0.9323336594911936
313,HeartDisease,MICE,Y,sklearn,0.6,0.929271037181996
314,HeartDisease,Expectation Maximization,Y,impyute,0.6,0.9303864970645792
315,HeartDisease,Missing Forest,Y,missingpy,0.6,0.9297798434442271
316,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.62,0.923579321231255
317,HeartDisease,MICE,Y,sklearn,0.62,0.92483228097869
318,HeartDisease,Expectation Maximization,Y,impyute,0.62,0.9208218232044201
319,HeartDisease,Missing Forest,Y,missingpy,0.62,0.9230662983425414
320,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.64,0.92623373532212
321,HeartDisease,MICE,Y,sklearn,0.64,0.9252072754681052
322,HeartDisease,Expectation Maximization,Y,impyute,0.64,0.9218154950809266
323,HeartDisease,Missing Forest,Y,missingpy,0.64,0.9229758410028562
324,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.66,0.9193460277821134
325,HeartDisease,MICE,Y,sklearn,0.66,0.9167365771812079
326,HeartDisease,Expectation Maximization,Y,impyute,0.66,0.9168390042141408
327,HeartDisease,Missing Forest,Y,missingpy,0.66,0.916999960980178
328,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.68,0.9409209085933224
329,HeartDisease,MICE,Y,sklearn,0.68,0.9418396669012432
330,HeartDisease,Expectation Maximization,Y,impyute,0.68,0.9408573774337322
331,HeartDisease,Missing Forest,Y,missingpy,0.68,0.9358335288138244
332,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.7,0.9308362884160756
333,HeartDisease,MICE,Y,sklearn,0.7,0.931102245862884
334,HeartDisease,Expectation Maximization,Y,impyute,0.7,0.9314519306540584
335,HeartDisease,Missing Forest,Y,missingpy,0.7,0.9274773443656421
336,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.72,0.9327838539617594
337,HeartDisease,MICE,Y,sklearn,0.72,0.9324051853017548
338,HeartDisease,Expectation Maximization,Y,impyute,0.72,0.9343378708002203
339,HeartDisease,Missing Forest,Y,missingpy,0.72,0.928131638995987
340,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.74,0.9258139305445936
341,HeartDisease,MICE,Y,sklearn,0.74,0.9236533149171272
342,HeartDisease,Expectation Maximization,Y,impyute,0.74,0.9212559194948698
343,HeartDisease,Missing Forest,Y,missingpy,0.74,0.9203679952644042
344,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.76,0.9276591156375898
345,HeartDisease,MICE,Y,sklearn,0.76,0.9289285119146808
346,HeartDisease,Expectation Maximization,Y,impyute,0.76,0.9293058999970591
347,HeartDisease,Missing Forest,Y,missingpy,0.76,0.9246302086907084
348,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.78,0.9229009966384402
349,HeartDisease,MICE,Y,sklearn,0.78,0.9215948186630653
350,HeartDisease,Expectation Maximization,Y,impyute,0.78,0.917631923975513
351,HeartDisease,Missing Forest,Y,missingpy,0.78,0.916084226299031
352,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.8,0.9311748644613812
353,HeartDisease,MICE,Y,sklearn,0.8,0.9343718079673136
354,HeartDisease,Expectation Maximization,Y,impyute,0.8,0.9343079673135852
355,HeartDisease,Missing Forest,Y,missingpy,0.8,0.9334682171760824
356,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.82,0.9271716101694916
357,HeartDisease,MICE,Y,sklearn,0.82,0.9300357030759572
358,HeartDisease,Expectation Maximization,Y,impyute,0.82,0.9279366760828626
359,HeartDisease,Missing Forest,Y,missingpy,0.82,0.9317914312617704
360,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.84,0.9256621750642244
361,HeartDisease,MICE,Y,sklearn,0.84,0.922482947331122
362,HeartDisease,Expectation Maximization,Y,impyute,0.84,0.9255145329094364
363,HeartDisease,Missing Forest,Y,missingpy,0.84,0.9271189109914664
364,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.86,0.9239935587761674
365,HeartDisease,MICE,Y,sklearn,0.86,0.9221099887766556
366,HeartDisease,Expectation Maximization,Y,impyute,0.86,0.9270141023764212
367,HeartDisease,Missing Forest,Y,missingpy,0.86,0.9282096325574588
368,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.88,0.9196526418786692
369,HeartDisease,MICE,Y,sklearn,0.88,0.9184833659491194
370,HeartDisease,Expectation Maximization,Y,impyute,0.88,0.9186986301369864
371,HeartDisease,Missing Forest,Y,missingpy,0.88,0.9188845401174168
372,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.9,0.920217209690894
373,HeartDisease,MICE,Y,sklearn,0.9,0.9198682981964716
374,HeartDisease,Expectation Maximization,Y,impyute,0.9,0.9154749619145904
375,HeartDisease,Missing Forest,Y,missingpy,0.9,0.9178681999115436
376,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.92,0.9298874404686231
377,HeartDisease,MICE,Y,sklearn,0.92,0.9279169152234076
378,HeartDisease,Expectation Maximization,Y,impyute,0.92,0.925579666917668
379,HeartDisease,Missing Forest,Y,missingpy,0.92,0.9276479849790236
380,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.94,0.9227775762863052
